Title,docking score
C=CC(=O)Nc1cc(-n2c(=O)ccc3cnc4ccc(-c5ccc(NC(=O)NC)cc5)cc4c32)ccc1C,-7.783
CCOC(=O)C(CCCNC(=O)O)NC(=O)C=Cc1ccccc1,-6.609
CCCCNC(=O)CN,-3.154
CN(C)[C@@H]1CC[C@H](C#N)[C@@H](n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C1,-8.82
N#CCC1(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CCSCC1,-7.766
CCS(=O)(=O)Nc1cc(-c2ccc(O)cc2Cl)cc2[nH]ncc12,-8.025
N#C[C@H]1C[C@@H](NCC(F)(F)F)CC[C@@H]1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,-7.929
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@@H](c3ccccc3)C2)CC1,-8.489
COc1ccccc1OCCCC(N)C(O)CO,-4.351
CN(c1ccc(C(=O)N[C@@H](CO)c2ccccc2)cc1F)[C@@H]1CCN(c2ncnc3[nH]ccc23)C1,-7.185
CN1C/C=C/COCc2ccc(s2)-c2ccnc(n2)Nc2ccc(OCCN3CCCC3)c(c2)C1,-6.758
C=C(C)C(=O)Nc1cc(-c2ncnc3[nH]cc(C(=O)OCC)c23)ccc1C,-5.129
NCC(=O)NCCC(=O)NCC(N)=O,-3.389
Cn1ccc(c1)C(=O)NCC1CCNC1,-6.088
Cn1cc(Nc2ncc(Cl)c(NC3CCC4(CC3)CCN(C(=O)CC#N)CC4)n2)cn1,-8.915
CN(C)CCC(=O)NCC(=O)O,-3.646
N#CCC1(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CCC(NCc2ccccn2)CC1,-7.483
O=C1NCc2c1c1c3cc(/C=C/CNC4=NCCN4)ccc3n3c1c1c2c2ccccc2n1CC(CO)C3,-8.045
COCCN(C)[C@H]1CC[C@H](n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)[C@@H](C#N)C1,-8.226
CCCn1cc(-c2cn3ncc(C(N)=O)c(N[C@@H]4CN(C(=O)C5(C#N)CC5)C[C@@H]4C)c3n2)cn1,-9.416
CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CC[C@H](Cc3ccccc3)C2)CC1,-7.236
COC(=O)[C@H](C(C)C)n1c(=O)c2cc(OC)c(OC)cc2c2cnc3[nH]ccc3c21,-9.407
[C-]#[N+]/C(=C/c1ccc(Nc2cnc3[nH]cc(C(=O)C(C)(C)C)c3n2)cc1)c1nccs1,-6.226
O=C(NO)c1ccccc1Cl,-5.846
CCSCC(=O)NCc1ccccc1OC,-4.958
CC(F)(F)C(=O)N1CC[C@](CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)nc3)n2)[C@@H](F)C1,-7.604
COCC(C)N[C@H]1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)[C@@H](C#N)C1,-8.373
CCNCC(O)CO,-3.346
CC1(C)CCC[C@H]1Nc1c(C(N)=O)cnn2cccc12,-7.546
COc1ccccc1-c1nnc(Sc2nc([N+](=O)[O-])nn2C)o1,-6.558
NC(=O)NC(=O)CCS,-4.319
CC(=O)N1CCN(CC1)C(=O)c1cccnc1,-7.145
OC12CC3CC(C1)CC(c1nnn4cnc5[nH]ccc5c14)(C3)C2,-10.598
N#C[C@@H]1C[C@H](C(=O)NC2CC2)CC[C@H]1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,-5.85
Cc1cc(-c2nn(C3CCCN(C(=O)CN(C)C)C3)c3ncnc(N)c23)nn1C,-8.397
